Name,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22
Page_0001_5_4_2_in,103.83030303030303,25.79090909090909,215.0,71.0,86.0,106.0,58.0,1.0,58.0,36.0,66.0,10.0,66.0,60.0,121.0,6.0,121.0,63.0,135.0,1.0,135.0,35.0
Page_0001_5_4_3_out,147.84834123222748,32.8696682464455,279.0,85.0,146.0,178.0,117.0,1.0,117.0,55.0,139.0,11.0,139.0,82.0,197.0,14.0,197.0,76.0,216.0,4.0,216.0,52.0
Page_0001_5_4_4_in,110.83132530120481,28.42168674698795,212.0,72.0,103.0,127.0,81.0,4.0,81.0,45.0,95.0,13.0,95.0,70.0,144.0,10.0,144.0,67.0,155.0,5.0,155.0,46.0
Page_0001_5_5_1_out,138.50235849056602,39.77594339622642,288.0,96.0,119.0,134.0,84.0,24.0,84.0,68.0,97.0,35.0,97.0,88.0,139.0,29.0,139.0,94.0,167.0,7.0,167.0,64.0
Page_0001_5_5_2_in,94.15141955835962,27.050473186119874,201.0,72.0,80.0,89.0,46.0,1.0,46.0,38.0,62.0,9.0,62.0,66.0,111.0,8.0,111.0,61.0,121.0,5.0,121.0,35.0
Page_0001_5_5_3_out,140.1704260651629,32.07769423558897,259.0,85.0,148.0,168.0,122.0,2.0,122.0,57.0,147.0,16.0,147.0,84.0,181.0,20.0,181.0,80.0,198.0,10.0,198.0,57.0
Page_0001_5_5_4_in,111.50157728706624,30.892744479495267,211.0,75.0,113.0,135.0,87.0,4.0,87.0,40.0,98.0,11.0,98.0,69.0,158.0,15.0,158.0,62.0,165.0,10.0,165.0,42.0
Page_0001_5_6_1_in,130.51842105263157,34.03947368421053,240.0,87.0,140.0,155.0,107.0,2.0,107.0,57.0,132.0,13.0,132.0,85.0,176.0,19.0,176.0,79.0,191.0,12.0,191.0,54.0
Page_0001_5_6_2_out,124.96685082872928,29.406077348066297,232.0,75.0,131.0,158.0,104.0,2.0,104.0,50.0,124.0,12.0,124.0,73.0,162.0,16.0,162.0,73.0,177.0,8.0,177.0,54.0
Page_0001_5_6_3_in,117.26491646778042,40.37947494033413,246.0,101.0,100.0,116.0,61.0,13.0,61.0,67.0,79.0,22.0,79.0,95.0,127.0,14.0,127.0,97.0,159.0,2.0,159.0,67.0
Page_0001_5_6_4_out,102.03621169916434,30.473537604456826,222.0,85.0,77.0,87.0,46.0,8.0,46.0,56.0,63.0,15.0,63.0,79.0,108.0,11.0,108.0,77.0,127.0,2.0,127.0,46.0
Page_0001_5_7_1_out,149.6879271070615,32.380410022779046,295.0,84.0,136.0,165.0,113.0,9.0,113.0,54.0,127.0,19.0,127.0,82.0,175.0,14.0,175.0,81.0,193.0,1.0,193.0,58.0
Page_0001_5_7_2_in,107.6301775147929,29.16568047337278,222.0,76.0,93.0,110.0,61.0,3.0,61.0,47.0,77.0,12.0,77.0,69.0,128.0,12.0,128.0,66.0,140.0,8.0,140.0,41.0
Page_0001_5_7_3_out,141.5942720763723,36.704057279236274,272.0,93.0,146.0,160.0,109.0,2.0,109.0,60.0,132.0,13.0,132.0,89.0,185.0,25.0,185.0,82.0,199.0,13.0,199.0,59.0
Page_0001_5_7_4_in,101.4888888888889,32.77777777777778,196.0,78.0,96.0,117.0,74.0,2.0,74.0,44.0,85.0,12.0,85.0,74.0,137.0,18.0,137.0,69.0,143.0,13.0,143.0,47.0
