Piece,Side,page,row,column,side number,In_Out,Matched,Matched_side,Width,Height,symetry,m,c,head_flatness,
Page_0001_2_7,Page_0001_2_7_3_out,0001,2,7,3,out,0,,259.2334855,259.2334855,0.626261123,0.075202955,27.89001277,,
Page_0001_2_7,Page_0001_2_7_4_in,0001,2,7,4,in,0,,188.3825894,188.3825894,0.634355275,0.159717832,13.0015595,,
Page_0001_3_1,Page_0001_3_1_1_in,0001,3,1,1,in,0,,215.127869,215.127869,0.672558341,0.068076881,23.8913985,,
Page_0001_3_1,Page_0001_3_1_2_out,0001,3,1,2,out,1,Page_0001_3_2_2_in,267.0299609,267.0299609,0.375247178,-0.041873904,47.98486154,,
Page_0001_3_1,Page_0001_3_1_3_in,0001,3,1,3,in,0,,197.3068676,197.3068676,0.370922168,-0.089352244,39.39343236,,
Page_0001_3_1,Page_0001_3_1_4_out,0001,3,1,4,out,0,,236.4148895,236.4148895,0.567165247,0.026740419,29.78521754,,
Page_0001_3_2,Page_0001_3_2_1_out,0001,3,2,1,out,0,,221.0361961,221.0361961,0.520498598,0.090243702,23.44976392,,
Page_0001_3_2,Page_0001_3_2_2_in,0001,3,2,2,in,1,Page_0001_3_1_2_out,260.0307674,260.0307674,0.420255561,-0.053002971,49.93436873,,
Page_0001_3_2,Page_0001_3_2_3_out,0001,3,2,3,out,0,,219.0821764,219.0821764,0.409775611,-0.056742898,34.50748004,,
Page_0001_3_2,Page_0001_3_2_4_in,0001,3,2,4,in,0,,259,259,0.71042471,0.18205617,15.39599629,,
Page_0001_3_3,Page_0001_3_3_1_in,0001,3,3,1,in,0,,211.0213259,211.0213259,0.564832697,0.077716024,24.69726469,,
Page_0001_3_3,Page_0001_3_3_2_out,0001,3,3,2,out,1,Page_0001_3_4_2_in,293.2882541,293.2882541,0.548164338,0.059909763,22.9307523,,
Page_0001_3_3,Page_0001_3_3_3_in,0001,3,3,3,in,0,,179.6941847,179.6941847,0.413100031,0.022575364,38.2981375,,
